speaker,speaker_name,dialogue_rows,expected_or_observed_gender,male_first_person_forms,female_first_person_forms,status
char_JUMBOGAMEMON,ДжамбоГамемон,48,contextual male,3,0,first_person_evidence_only
char_JUNOMON,Юномон,163,female,0,6,curated_source_confirmed
char_JUNOMON_HYSTERICMODE,Юномон: Истерический режим,15,female,0,0,curated_source_confirmed
char_JUPITERMON,Юпитермон,56,male,5,0,curated_source_confirmed
char_JUSTIMON,Джастимон,5,unknown,0,0,no_explicit_first_person_form
char_JYUREIMON,Дзюреймон,37,contextual male,4,0,first_person_evidence_only
char_KABUTERIMON,Кабутеримон,7,unknown,0,0,no_explicit_first_person_form
char_KAISERGREYMON,Кайзер Греймон,5,unknown,0,0,no_explicit_first_person_form
char_KAMEMON,Камемон,153,contextual male,15,0,first_person_evidence_only
char_KARATUKINUMEMON,КарацукиНумемон,2,unknown,0,0,no_explicit_first_person_form
char_KERAMON,Керамон,6,unknown,0,0,no_explicit_first_person_form
char_KERPYMON_GOOD,Херувимон (Добродетельный),1,unknown,0,0,no_explicit_first_person_form
char_KINGETEMON,КингЕтемон,2,unknown,0,0,no_explicit_first_person_form
char_KIWIMON,Кивимон,12,contextual male,3,0,first_person_evidence_only
char_KNIGHTMON,Найтмон,34,contextual male,6,0,first_person_evidence_only
char_KOKUWAMON,Кокувамон,22,contextual male,1,0,first_person_evidence_only
char_KOROMON,Коромон,5,unknown,0,0,no_explicit_first_person_form
char_KOTEMON,Котэмон,19,contextual male,1,0,first_person_evidence_only
char_KUDAMON,Кудамон,6,unknown,0,0,no_explicit_first_person_form
char_KUWAGAMON,Кувагамон,9,unknown,0,0,no_explicit_first_person_form
char_KUZUHAMON,Кудзухамон,17,female,0,0,curated_source_confirmed
char_KYUBIMON,Кьюбимон,5,contextual male,1,0,first_person_evidence_only
char_LADYDEVIMON,Леди Девимон,16,female,0,0,curated_source_confirmed
char_LALAMON,Лаламон,23,female,0,0,curated_source_confirmed
char_LEOMON,Леомон,14,contextual male,1,0,first_person_evidence_only
char_LEVIAMON,Левиамон,5,unknown,0,0,no_explicit_first_person_form
char_LIGHDRAMON,Лайдрамон,8,contextual male,1,0,first_person_evidence_only
char_LILAMON,Лиламон,13,female,0,1,curated_source_confirmed
char_LILITHMON,Лилитмон,5,female,0,0,curated_source_confirmed
char_LILLYMON,Лилимон,18,female,0,4,curated_source_confirmed
char_LOADERLIOMON,Лоадер Лиомон,17,unknown,0,0,no_explicit_first_person_form
char_LOADKNIGHTMON,Лорд Найтмон,14,contextual male,1,0,first_person_evidence_only
char_LOCOMON,Локомон,21,contextual male,3,0,first_person_evidence_only
char_LOPMON,Лопмон,9,unknown,0,0,no_explicit_first_person_form
char_LOTOSMON,Лотусмон,56,female,0,4,curated_source_confirmed
char_LUCEMON,Люцимон,10,unknown,0,0,no_explicit_first_person_form
char_LUCEMON_SM,Люцимон: режим Сатаны,5,unknown,0,0,no_explicit_first_person_form
char_LUNAMON,Лунамон,93,female,0,5,curated_source_confirmed
char_MACHGAOGAMON,Мах Гаогамон,11,contextual male,1,0,first_person_evidence_only
char_MAGNAGARURUMON,Магна Гарурумон,7,unknown,0,0,no_explicit_first_person_form
char_MAGNAKIDMON,МагнаКидмон,2,contextual male,1,0,first_person_evidence_only
char_MAGNAMON,Магнамон,74,contextual male,10,0,first_person_evidence_only
char_MAMEMON,Мамемон,163,contextual male,4,0,first_person_evidence_only
char_MARINEANGEMON,Маринангемон,63,female,0,5,curated_source_confirmed
char_MARSMON,Марсмон,138,male,13,0,curated_source_confirmed
char_MASTERBLIMPMON,МастерБлимпмон,8,unknown,0,0,no_explicit_first_person_form
char_MATADRMON,Матадормон,5,unknown,0,0,no_explicit_first_person_form
char_MECHANORIMON,Механоримон,42,contextual male,2,0,first_person_evidence_only
char_MEDIEVALDUKEMON,Средневековый Дюкмон,5,unknown,0,0,no_explicit_first_person_form
char_MEGADRAMON,Мегадрамон,6,unknown,0,0,no_explicit_first_person_form
char_MEGAGROWLMON,Мегало Граумон,15,contextual male,1,0,first_person_evidence_only
char_MEGASEADRAMON,Мега Сидрамон,9,unknown,0,0,no_explicit_first_person_form
char_MEGIDRAMON,Мегидрамон,8,unknown,0,0,no_explicit_first_person_form
char_MERAMON,Мерамон,18,unknown,0,0,no_explicit_first_person_form
char_MERCURYMON,Меркуримон,253,male,15,0,curated_source_confirmed
char_MERVAMON,Мервамон,6,female,0,0,curated_source_confirmed
char_METALETEMON,Металл Этемон,5,unknown,0,0,no_explicit_first_person_form
char_METALGARURUMON,Метал Гарурумон,5,unknown,0,0,no_explicit_first_person_form
char_METALGREYMON,Металл Греймон,13,unknown,0,0,no_explicit_first_person_form
char_METALMAMEMON,Металл Мамемон,18,unknown,0,0,no_explicit_first_person_form
char_METALSEADRAMON,Металл Сидрамон,27,contextual male,2,0,first_person_evidence_only
char_METALTYRANNOMON,МеталлТиранномон,6,unknown,0,0,no_explicit_first_person_form
char_MILLENNIUMON,Милленниумон,11,unknown,0,0,no_explicit_first_person_form
char_MINERVAMON,Минервамон,490,female,0,26,curated_source_confirmed
char_MINOTAURMON,Минотарумон,11,contextual male,1,0,first_person_evidence_only
char_MIRAGEGAOGAMON,Мираж Гаогамон,6,contextual male,1,0,first_person_evidence_only
char_MIRAGEGAOGAMON_BM,Мираж Гаогамон: Взрывной режим,6,unknown,0,0,no_explicit_first_person_form
char_MISTYMON,Мистимон,1,unknown,0,0,no_explicit_first_person_form
char_MOCHIMON,Мотимон,8,contextual male,1,0,first_person_evidence_only
char_MOJYAMON,Моджамон,31,contextual male,2,0,first_person_evidence_only
char_MONOCHROMON,Монохромон,8,contextual male,4,0,first_person_evidence_only
char_MONODRAMON,Монодрамон,13,contextual male,1,0,first_person_evidence_only
char_MONZAEMON,Мондзаэмон,12,contextual male,3,0,first_person_evidence_only
char_MUCHOMON,Мучомон,21,unknown,0,0,no_explicit_first_person_form
char_MUGENDRAMON,Мугендрамон,12,contextual male,1,0,first_person_evidence_only
char_MUMMYMON,Мумимон,21,contextual male,1,0,first_person_evidence_only
char_MUSHMON,Машмон,19,unknown,0,0,no_explicit_first_person_form
char_MUSYAMON,Мусямон,10,unknown,0,0,no_explicit_first_person_form
char_NANIMON,Нанимон,49,contextual male,2,0,first_person_evidence_only
char_NANOMON,Наномон,15,contextual male,1,0,first_person_evidence_only
char_NEFERTIMON,Нефертимон,8,unknown,0,0,no_explicit_first_person_form
char_NEPTUNEMON,Нептунмон,166,male,11,0,curated_source_confirmed
char_NUMEMON,Нумемон,7,contextual male,1,0,first_person_evidence_only
char_NYAROMON,Няромон,2,unknown,0,0,no_explicit_first_person_form
char_OCTMON,Октомон,49,unknown,0,0,no_explicit_first_person_form
char_OMEGAMON,Омегамон,83,contextual male,4,0,first_person_evidence_only
