package,file,reviewed_id,runtime_key,role,mode,group_ids,hero_id,heroine_id
patch_text01,message/s030_029.mbe/000_Sheet1.csv,s030_029_240,s030_029_240,player_address,direct,s030_029_240,s030_029_240__H,s030_029_240__F
patch_text01,message/s030_030.mbe/000_Sheet1.csv,s030_030_090,s030_030_090,player_address,direct,s030_030_090,s030_030_090__H,s030_030_090__F
patch_text01,message/s040_033.mbe/000_Sheet1.csv,s040_033_280,s040_033_280,player_address,direct,s040_033_280,s040_033_280__H,s040_033_280__F
patch_text01,message/s040_033.mbe/000_Sheet1.csv,s040_033_410,s040_033_410,player_address,direct,s040_033_410,s040_033_410__H,s040_033_410__F
patch_text01,message/s040_033.mbe/000_Sheet1.csv,s040_033_680,s040_033_680,player_address,direct,s040_033_680,s040_033_680__H,s040_033_680__F
patch_text01,message/s040_160.mbe/000_Sheet1.csv,s040_160_200,s040_160_200,player_address,direct,s040_160_200,s040_160_200__H,s040_160_200__F
patch_text01,message/s050_038.mbe/000_Sheet1.csv,s050_038_0030,s050_038_0030,player_address,direct,s050_038_0030,s050_038_0030__H,s050_038_0030__F
patch_text01,message/s050_038.mbe/000_Sheet1.csv,s050_038_0120,s050_038_0120,player_address,direct,s050_038_0120,s050_038_0120__H,s050_038_0120__F
patch_text01,message/s050_038.mbe/000_Sheet1.csv,s050_038_0200,s050_038_0200,player_address,direct,s050_038_0200,s050_038_0200__H,s050_038_0200__F
patch_text01,message/s050_042.mbe/000_Sheet1.csv,s050_042_0270,s050_042_0270,player_address,direct,s050_042_0270,s050_042_0270__H,s050_042_0270__F
patch_text01,message/s050_042.mbe/000_Sheet1.csv,s050_042_0280,s050_042_0280,player_address,direct,s050_042_0280,s050_042_0280__H,s050_042_0280__F
patch_text01,message/s050_043.mbe/000_Sheet1.csv,s050_043_640,s050_043_640,player_address,direct,s050_043_640,s050_043_640__H,s050_043_640__F
patch_text01,message/s070_056.mbe/000_Sheet1.csv,s070_056_320,s070_056_320,player_address,direct,s070_056_320,s070_056_320__H,s070_056_320__F
patch_text01,message/s070_057.mbe/000_Sheet1.csv,s070_057_050,s070_057_050,player_address,direct,s070_057_050,s070_057_050__H,s070_057_050__F
patch_text01,message/s080_059.mbe/000_Sheet1.csv,s080_059_360,s080_059_360,player_address,direct,s080_059_360,s080_059_360__H,s080_059_360__F
patch_text01,message/s090_072.mbe/000_Sheet1.csv,s090_072_260,s090_072_260,player_address,direct,s090_072_260,s090_072_260__H,s090_072_260__F
patch_text01,message/s095_082.mbe/000_Sheet1.csv,s095_082_600,s095_082_600,player_address,direct,s095_082_600,s095_082_600__H,s095_082_600__F
patch_text01,message/s110_090.mbe/000_Sheet1.csv,s110_090_120,s110_090_120,player_address,direct,s110_090_120,s110_090_120__H,s110_090_120__F
patch_text01,message/s110_094.mbe/000_Sheet1.csv,s110_094_010,s110_094_010,player_address,direct,s110_094_010,s110_094_010__H,s110_094_010__F
patch_text01,message/s110_101.mbe/000_Sheet1.csv,s110_101_840,s110_101_840,player_address,direct,s110_101_840,s110_101_840__H,s110_101_840__F
patch_text01,message/s110_103.mbe/000_Sheet1.csv,s110_103_300,s110_103_300,player_address,direct,s110_103_300,s110_103_300__H,s110_103_300__F
patch_text01,message/s110_108.mbe/000_Sheet1.csv,s110_108_330,s110_108_330,player_address,direct,s110_108_330,s110_108_330__H,s110_108_330__F
patch_text01,message/s110_208.mbe/000_Sheet1.csv,s110_208_110,s110_208_110,player_address,direct,s110_208_110,s110_208_110__H,s110_208_110__F
patch_text01,message/s110_211.mbe/000_Sheet1.csv,s110_211_295,s110_211_295,player_address,direct,s110_211_295,s110_211_295__H,s110_211_295__F
patch_text01,message/s200_148.mbe/000_Sheet1.csv,s200_148_390,s200_148_390,player_address,direct,s200_148_390,s200_148_390__H,s200_148_390__F
patch_text01,message/s910_170.mbe/000_Sheet1.csv,s910_170_1550,s910_170_1550,player_address,direct,s910_170_1550,s910_170_1550__H,s910_170_1550__F
patch_text01,message/t01.mbe/000_Sheet1.csv,f_t0101_0190_0010,f_t0101_0190_0010,player_address,direct,f_t0101_0190_0010,f_t0101_0190_0010__H,f_t0101_0190_0010__F
patch_text01,message/t01.mbe/000_Sheet1.csv,f_t0103_9000_0040,f_t0103_9000_0040,player_address,direct,f_t0103_9000_0040,f_t0103_9000_0040__H,f_t0103_9000_0040__F
patch_text01,message/t01.mbe/000_Sheet1.csv,f_t0121_080_0020,f_t0121_080_0020,player_address,direct,f_t0121_080_0020,f_t0121_080_0020__H,f_t0121_080_0020__F
patch_text01,message/t01.mbe/000_Sheet1.csv,f_t0121_090_0030,f_t0121_090_0030,player_address,direct,f_t0121_090_0030,f_t0121_090_0030__H,f_t0121_090_0030__F
